name,review_count,categories,rating,coordinates,price
Chuck's Coffee & Donuts,73,"donuts,coffee,desserts",4.0,"37.509597,-122.261161",$
Jolly's Old-Fashioned Teas Cream,12,"icecream,foodtrucks",4.0,"37.53356,-122.29585",
Cherimoya,420,"vietnamese,sandwiches,noodles",4.0,"37.57751,-122.34819",$
Waterfront Cafe,17,"cafes,bubbletea",4.5,"37.590323,-122.34142",$
Tea Plus Noodle,315,"chinese,vietnamese,noodles",3.5,"37.578555,-122.344247",$$
The Posh Bagel,144,"bakeries,bagels",2.5,"37.45012,-122.18542",$$
Happy Lemon,3,"bubbletea,coffee",5.0,"37.4860015,-122.2289533",
Sushi Plus,806,"japanese,sushi,vegetarian",4.0,"37.45781072099216,-122.22890948618037",$$
Jiaren Cafe,409,"coffee,desserts,bubbletea",4.5,"37.34855903388084,-121.94573524108979",$$
Bayleaf Tea,123,"bubbletea,coffee,desserts",5.0,"37.42141757396315,-121.9216664",$$
X Tea,13,bubbletea,4.0,"37.372816,-121.873768",
Tiger Tea & Juice - San Jose,461,"bubbletea,juicebars",4.5,"37.3834901708966,-121.893125809729",$$
Dr.ink,374,"coffee,juicebars",4.5,"37.33632758116021,-121.89540826040643",$$
Chun Yang Tea,152,"bubbletea,coffee",4.0,"37.37328985370428,-121.99966342331311",$$
Fantasia Coffee & Tea,507,"coffee,desserts,bubbletea",3.0,"37.3953035880334,-121.946540661156",$$
Sunright Tea Studio,593,bubbletea,4.5,"37.35660211284258,-122.01728449048878",$$
Woof's Bar,234,"bubbletea,juicebars,coffee",4.5,"37.344485,-121.933166",$$
Bobaholics,463,"bubbletea,coffee,chickenshop",4.0,"37.3830098,-121.8969438",$
Tong Sui,452,"desserts,juicebars,bubbletea",4.5,"37.381387,-122.007585",$$$
Wanpo Tea Shop,149,"bubbletea,taiwanese",4.5,"37.323334927111716,-122.0069328",$
Boba Guys,186,"coffee,bubbletea",4.0,"37.31953754481026,-121.94756593159585",$$
Tan-Cha,161,"bubbletea,tea",4.0,"37.338263,-121.974385",$$
Cozy Tea Loft,35,"bubbletea,coffee",4.5,"37.308865,-121.994167",
7 Leaves Cafe,588,"bubbletea,coffee,macarons",4.0,"37.321751,-121.971619",$
Pekoe,95,"bubbletea,coffee",4.5,"37.3717,-122.04572",
7 Leaves Cafe,1152,coffee,4.0,"37.3751025967376,-121.872479772728",$
Pekoe,337,"coffee,bubbletea,tea",4.0,"37.373802,-121.872138",$$
SunCha,30,"coffee,bubbletea,catering",4.0,"37.361000273362826,-121.89894710766652",
TP Tea,937,"bubbletea,coffee",4.0,"37.3112547375622,-122.02363193914",$$
7 Leaves Cafe,93,"bubbletea,coffee,macarons",4.5,"37.33726010896906,-122.01467138445331",$$
Sunright Tea Studio,91,bubbletea,4.5,"37.454977409047956,-121.9115747790836",$$
BAMBU,32,"bubbletea,juicebars,coffee",4.5,"37.38624,-121.96039",$
Moomo Tea,102,"coffee,bubbletea",4.5,"37.36751854284606,-122.0335961446545",$$
i-Tea,897,"ramen,bubbletea,juicebars",4.0,"37.43274,-121.89277",$
WeBoba,110,"coffee,bubbletea",4.0,"37.351735764799116,-121.98148823936893",$$
Ume Tea,291,"bubbletea,coffee,juicebars",4.0,"37.423732,-121.917868",$$
Sweet Gelato Tea Lounge,1689,"bubbletea,gelato,coffee",4.5,"37.3313361147367,-121.857381949738",$$
Tea Spot Cafe,62,"bubbletea,taiwanese,cafes",4.0,"37.392583995433846,-121.97745611886971",
Meet Fresh,130,"desserts,shavedice,bubbletea",2.5,"37.394989,-121.946781",$$
TeaTop,347,bubbletea,4.0,"37.42644,-121.92162",$
Gong cha,124,"bubbletea,coffee,cafes",4.0,"37.381582,-121.974879",$
Tastea,1005,"bubbletea,juicebars,coffee",4.0,"37.38766570190803,-121.86019135497666",$$
OMG Tea,190,"bubbletea,coffee",4.0,"37.34866,-121.94616",$
Yi Fang Taiwan Fruit Tea - Milpitas,355,"bubbletea,juicebars",4.0,"37.423515,-121.918402",$$
85°C Bakery Cafe-Milpitas,736,"bakeries,coffee,cakeshop",3.0,"37.419465,-121.915568",$$
Lilikoi Boba,237,"bubbletea,coffee",4.0,"37.3232222794707,-122.02253818502774",$$
MandRo Teahouse-Milpitas,278,"bubbletea,shavedice",4.0,"37.42648,-121.91002",$$
N7 Draft Tea + Coffee,273,"coffee,bubbletea",4.5,"37.31563,-121.977222",$$
Urban Ritual,262,"bubbletea,coffee",4.5,"37.33639,-121.89494",$$
TaoTaoTea,195,"bubbletea,cafes",4.5,"37.29148,-121.9941",$
Boba Pup,185,bubbletea,3.5,"37.3459535515411,-121.9791525819904",$$
Boba Galaxy,140,"bubbletea,coffee,juicebars",4.5,"37.40703,-121.88729",$$
Beastea,305,"coffee,juicebars,desserts",4.0,"37.35297,-121.97705",$$
V Kocha,24,"coffee,bubbletea",4.5,"37.35552440996717,-121.85111680841524",
Sinceretea,421,"bubbletea,coffee",4.0,"37.3529399,-121.89176",$
White Rabbit Cafe & Gallery,124,"galleries,bubbletea,coffee",4.5,"37.4481168543284,-121.886674761772",$
Happy Lemon,249,"bubbletea,juicebars",4.0,"37.340535994211216,-121.90641581165711",$
Tea Villa,12,bubbletea,3.5,"37.34455404736285,-121.9324096978865",
Cocohodo,598,"desserts,coffee",4.0,"37.3517264451999,-122.002505609904",$
Feng Cha - Milpitas,178,"desserts,juicebars,bubbletea",4.0,"37.43372161266319,-121.8976560305891",$$
Fantasia Coffee & Tea,1282,"coffee,bubbletea,desserts",4.0,"37.4208151690146,-121.916592059012",$$
Pink Pink Tea Shoppe,141,bubbletea,3.5,"37.32526656808702,-121.9455351300357",$$$
Teazu,352,"bubbletea,tea,juicebars",3.5,"37.3323285394546,-121.858550940763",$
Tastea,220,"coffee,juicebars,bubbletea",4.0,"37.366107,-122.031368",$$
Tea Lyfe Drinks,1125,"bubbletea,coffee,desserts",4.0,"37.3323443189417,-121.857742217231",$
Meet Fresh,1342,"desserts,shavedice,bubbletea",3.0,"37.324468,-122.011184",$$
7 Leaves Cafe,165,"bubbletea,coffee,macarons",4.0,"37.2940392152753,-121.94442609545132",
Tea Alley,171,"desserts,taiwanese,bubbletea",3.5,"37.33544000053426,-121.88985251165673",$
Yoko Tea,107,"bubbletea,coffee,juicebars",4.0,"37.3518051,-121.98188003346392",$$
TeaZenTea Milpitas,70,"bubbletea,juicebars,vegetarian",3.5,"37.41662,-121.877",$
Tan-Cha,568,bubbletea,3.5,"37.325385243091716,-122.01149170221741",$$
Teaever,10,"bubbletea,coffee",3.5,"37.39941588364696,-121.84829939156769",
Teaspoon,553,"coffee,desserts,tea",4.0,"37.42868,-121.91132",$$
Lilikoi Boba,89,bubbletea,4.0,"37.30628,-121.89919",$$
Mr. Sun Tea,446,"juicebars,bubbletea,coffee",4.0,"37.322605,-122.04048417055223",$$
Teaspoon,808,"bubbletea,desserts,coffee",4.0,"37.3157651,-121.9782757",$
Babo Boba,76,"bubbletea,juicebars,cafes",4.0,"37.32473,-121.96938",$
BAMBU,428,"juicebars,bubbletea,vietnamese",3.5,"37.376302,-122.031288",$
Ten Ren Tea,1054,"bubbletea,tea",4.0,"37.3356575,-122.01493846429145",$
Happy Lemon,297,"bubbletea,juicebars",4.0,"37.38287,-121.99508",$
Teaspoon,183,"bubbletea,coffee,macarons",4.0,"37.387028766942485,-121.88359751230315",$$
Tea Plus,95,"taiwanese,bubbletea",3.5,"37.3450526014,-121.934343044",$
Sharetea,590,"coffee,bubbletea,juicebars",3.5,"37.3877095395447,-121.88265226193495",$
Aloha Fresh,442,"poke,hawaiian,bubbletea",4.5,"37.3493323363192,-121.89401664085",$$
Tiger Sugar - San Jose,136,"bubbletea,desserts,coffee",4.0,"37.387147822437555,-121.88533613683244",$$
Truedan - Cupertino,175,"bubbletea,juicebars",4.0,"37.33544,-122.01444",
Happy Lemon,327,"bubbletea,juicebars",3.5,"37.4275421,-121.9108291",$
A Sack Of Potatoes,80,bubbletea,4.0,"37.33224,-121.85885",$$
Bober Tea,27,"bubbletea,coffee,tea",4.0,"37.37642193218955,-122.031634",
Teaspoon,276,bubbletea,4.0,"37.35164,-121.99101",$$
Calibear Cyber Cafe,256,"bubbletea,internetcafe,lancenters",4.5,"37.350963,-122.049565",$
R&B Tea,200,bubbletea,3.5,"37.32604869882355,-121.9441136159456",$$
Teahee,442,"coffee,juicebars,bubbletea",4.0,"37.33103,-121.85712",$
Milk Tea Lab,121,"bubbletea,hotdogs",4.0,"37.3514594,-121.8717155",$
Fantasia Coffee & Tea,1195,"coffee,desserts,bubbletea",4.0,"37.3361159244324,-122.015890307529",$$
Lucky Tea,252,"coffee,bubbletea,juicebars",4.5,"37.33055,-121.8564759",
Teaqueria,256,"coffee,tacos",4.5,"37.3407176050887,-121.91777586491428",$$
Tpumps,172,"bubbletea,juicebars",4.0,"37.3121295472596,-122.031830782864",$$
Boba Drive,460,"bubbletea,desserts,cafes",4.0,"37.40319359324458,-122.00865892292809",$
Tiger Sugar - Cupertino,531,"bubbletea,coffee,desserts",4.0,"37.32236723343329,-122.01668011960417",$$
K Tea Cafe ,350,"bubbletea,creperies,catering",4.0,"37.37709773986372,-122.03059670206243",$
Tea Top,558,tea,4.0,"37.3103156,-122.0122607",$
T4,357,bubbletea,3.0,"37.3973911068787,-121.87370179693657",$
Copenhagen Crown Bakery & Deli,340,"bakeries,delis",3.5,"37.352471,-121.960683",$
O2 Valley,401,"bubbletea,taiwanese",4.5,"37.322543,-122.0058113",$$
Orange Square,200,"taiwanese,bubbletea,asianfusion",4.0,"37.340031,-121.972832",$$
Happy Lemon,818,"bubbletea,juicebars",4.5,"37.32258,-122.03121",$
Gong Cha,573,"bubbletea,coffee,juicebars",3.5,"37.38753,-121.88725",$
Kali Noodles and Tea Bar,390,"vietnamese,coffee,noodles",4.5,"37.3397848425853,-121.882347352803",$$
Sharetea,282,"bubbletea,coffee,juicebars",4.0,"37.3623572836214,-122.027256087023",$$
Ume Tea,470,"coffee,bubbletea,juicebars",3.5,"37.335783,-122.01567",$$
BAMBU,720,"bubbletea,juicebars,vietnamese",4.0,"37.3876,-121.88391",$
Tea Era,763,"coffee,bubbletea,taiwanese",3.5,"37.33718615373284,-122.04036263043756",$
Soyful Desserts,739,"desserts,bubbletea",4.0,"37.33216,-121.85691",$$
Lilikoi Boba,38,bubbletea,4.0,"37.29274,-121.9919",
Chick & Tea - Milpitas,321,"taiwanese,bubbletea",3.5,"37.4551887512207,-121.911521911621",$$
Happiness Cafe,452,"icecream,vegan,bubbletea",4.5,"37.3863881481701,-121.884803238098",$$
ATM Tea Bar,142,"bubbletea,desserts,coffee",4.0,"37.37663,-122.030552",$$
Yummi Tea Cafe,395,"bubbletea,hotpot,taiwanese",4.0,"37.414925,-121.875899",$$
Teasociety,401,"coffee,desserts,juicebars",3.5,"37.4341782,-121.9007438",$$
2KTea Lounge,118,"tea,bubbletea",4.5,"37.404159132490605,-121.88199193046437",$$
Kung Fu Tea,207,"bubbletea,coffee,juicebars",3.5,"37.319759,-121.974874",$$
Honeyberry,1061,"icecream,desserts,shavedice",3.5,"37.3515681496377,-121.992844729458",$
Nuoc Mia Ninh Kieu Fresh Juice,264,juicebars,4.5,"37.333021,-121.856247",$$
TZONE Winchester,505,"juicebars,desserts,coffee",3.5,"37.3094676,-121.949733",$
Vampire Penguin,100,"shavedice,icecream,bubbletea",4.0,"37.3168151,-122.0325149",$$
Shihlin Taiwan Street Snacks,808,"taiwanese,hotdogs",4.0,"37.420773,-121.916405",$$
Yi Fang Taiwan Fruit Tea,204,"bubbletea,juicebars",3.5,"37.3047055,-122.033181",$$
Jazen Tea,98,"coffee,bubbletea",2.5,"37.3515863912688,-121.99270148474",$
Gong Cha,219,"bubbletea,coffee,juicebars",3.5,"37.422413,-121.9172453",$
CoCo Fresh Tea and Juice,32,"bubbletea,juicebars",3.5,"37.369979,-121.8788786",
Happy Lemon,346,bubbletea,4.0,"37.361954,-122.024527",$
Tapioca Express,284,"coffee,juicebars,bubbletea",3.5,"37.455219320423545,-121.91008580816391",$$
Cafe LaTTea,958,"cafes,coffee",3.5,"37.323241317778,-122.012261466162",$
Boba Bar,606,"bubbletea,asianfusion,chicken_wings",3.5,"37.332423,-121.884592",$
Pho Bel-Air,453,vietnamese,3.5,"37.37083079999913,-121.91708804110205",$$
Tea Villa,83,"bubbletea,juicebars,desserts",3.5,"37.333717,-121.888488",$
CoCo Fresh Tea & Juice Valley Fair,117,"bubbletea,juicebars",3.5,"37.325601,-121.9450002",$$
Breaktime Tea,628,"cafes,bubbletea",4.0,"37.335455,-121.886596",$
Annie's Sandwiches,266,"vietnamese,coffee,sandwiches",4.5,"37.34559,-121.93765",$
R&B Tea - Nitro,65,bubbletea,4.0,"37.4293,-121.90817",
Tea Palace,16,bubbletea,4.0,"37.30945,-121.88708",
RareTea,110,"bubbletea,coffee",4.0,"37.336968,-122.0402513",$
HiroNori Craft Ramen,2221,"ramen,noodles",4.5,"37.39293,-121.9774",$$
BAMBU,262,"juicebars,bubbletea,vietnamese",3.5,"37.433871,-121.884118",$
Miramar,223,"bubbletea,seafood,vietnamese",4.5,"37.38176,-121.99531",$$
Rabbit Rabbit Tea,461,"coffee,bubbletea,juicebars",3.5,"37.325523,-121.946402",$$
Gong Cha,529,"bubbletea,coffee",3.5,"37.292483,-121.988814",$
Pho Hoa Noodle Soup & Jazen Tea,526,"vietnamese,bubbletea,soup",3.5,"37.389509,-121.983566",$$
Poke Xpress,276,"poke,bubbletea",4.5,"37.4128099773883,-121.902977563441",$$
Tapioca Express,605,"coffee,juicebars,bubbletea",3.5,"37.3030374782512,-121.864601250072",$$
Passion-T Snacks & Desserts,576,"bubbletea,icecream,juicebars",4.0,"37.310710779747716,-121.84971685971077",$$
K Cafe Patisserie & Tea House,727,"coffee,desserts,breakfast_brunch",4.0,"37.30953,-121.93215",$$
Tous Les Jours,329,"bakeries,coffee,desserts",3.5,"37.33882,-121.99497",$$
Chick & Tea - Sunnyvale,222,"taiwanese,bubbletea,soulfood",3.5,"37.3626756,-122.0257344",$$
Ceremony,62,bubbletea,5.0,"37.2918404,-121.996099362287",$$
Bobaholics,35,"bubbletea,coffee,chickenshop",4.5,"37.36658983053744,-121.85054544110446",$
Lucky Tea,236,"coffee,bubbletea,juicebars",3.5,"37.325292,-121.947217",$$
Frozo's Frozen Yogurt,599,"icecream,bubbletea,juicebars",3.5,"37.35053,-121.94389",$
Tiger Milk Boba Bar,177,bubbletea,4.0,"37.3352727,-121.8896991",
Sunnywich Cafe,75,"sandwiches,bubbletea",4.5,"37.3878822408982,-122.024536281978",$
Jell & Chill,109,desserts,3.5,"37.33544,-122.01444",
Bean Scene Cafe,433,coffee,4.0,"37.37642290142058,-122.03019611798388",$$
Creative SIPS,31,"bubbletea,juicebars,foodtrucks",4.0,"37.3136978149414,-121.946624755859",$$
BoBo Drinks,720,"coffee,bubbletea,tea",2.5,"37.32946,-121.85928",$
Burritos Meet Churros,50,"bubbletea,desserts,asianfusion",4.0,"37.341334286689474,-121.86260406027239",$
85°C Bakery Cafe-Cupertino,348,"bakeries,coffee,cakeshop",3.0,"37.3238874357311,-122.011175419039",$
Hanlin Tea Room - Cupertino,99,"taiwanese,tea",4.0,"37.318547,-122.029552",$$
SomiSomi,1280,"desserts,icecream,korean",4.5,"37.32502,-122.011019",$
Bobateani,39,"bubbletea,catering",5.0,"37.33709,-121.88941",$
Sharetea,296,"bubbletea,coffee,tea",3.5,"37.325649,-121.946112",$
Hechaa,239,"desserts,cafes,tea",3.0,"37.31361,-122.03263",$
Mr. Green Bubble,13,"juicebars,bubbletea,coffee",3.5,"37.324595846464064,-122.03391224352606",
Gong Cha,183,"coffee,juicebars,bubbletea",3.5,"37.3336854519061,-121.88474",$
Quickly,281,"coffee,asianfusion,bubbletea",2.5,"37.4178751788897,-121.874392975463",$
QQQ Tea,141,coffee,3.5,"37.29537,-122.03138",$
China Palace,893,chinese,3.0,"37.41921,-121.915851",$
T4,132,bubbletea,3.5,"37.32328,-122.01283",$$
Gong Cha,152,"bubbletea,coffee,juicebars",4.0,"37.33929,-122.04255",$
Tohja Boba,15,"coffee,bubbletea,juicebars",4.5,"37.3338,-121.85288",
Yomie’s Rice x Yogurt - San Jose,12,bubbletea,3.5,"37.38747400989377,-121.8876523959468",
Justeas,9,bubbletea,3.5,"37.35175,-122.03183",$$
Happy Lemon,74,"bubbletea,juicebars",4.0,"37.33047,-121.8574",
Bonchon,2657,"chicken_wings,korean,asianfusion",4.0,"37.362267,-122.027362",$$
T4 Story Road,246,"bubbletea,coffee,taiwanese",3.5,"37.3320993860389,-121.857838706532",$
Beque Korean Grill,956,"korean,bbq",3.5,"37.351424323439,-121.981966664015",$$
Grand Century Mall Food Court,112,food_court,4.0,"37.3331631405194,-121.856998530441",$
Boba Express,9,bubbletea,4.0,"37.39098790394715,-121.87885744716965",
Simpletea,14,"bubbletea,coffee,juicebars",3.5,"37.3875255,-121.8579659",$
Music Tunnel KTV Cafe,460,"karaoke,coffee,juicebars",4.0,"37.30529,-122.03167",$$
Com Tam Thanh,668,vietnamese,3.5,"37.30991466568,-121.932005854002",$$
Uzumakiya Udon Izakaya,589,"izakaya,ramen",4.0,"37.3114644520778,-122.023196535998",$$
Kensho Social,369,"coffee,ramen",4.5,"37.33080962478547,-121.85831423829254",$$
World Wrapps 2.0,285,"wraps,bubbletea,hotdogs",4.5,"37.389256,-121.9837082",$$
Pepper Lunch USA,2638,teppanyaki,4.0,"37.4218596148519,-121.916425418683",$$
Happy Lemon,142,"juicebars,bubbletea",4.0,"37.293028,-121.996991",$
Sancha Bar,112,"juicebars,bubbletea",3.5,"37.447369,-121.90308",$
Din Tai Fung,4412,"noodles,taiwanese,dimsum",3.5,"37.326242,-121.944089",$$
Boba Tteok,13,"bubbletea,desserts,foodtrucks",4.0,"37.3886680603027,-121.886901855469",
Jazen Tea,174,coffee,3.5,"37.3065639,-122.0328361",$$
Tapioca Express,242,"coffee,bubbletea,juicebars",2.5,"37.365392,-121.850801",$
Boiling Point,648,"taiwanese,hotpot,comfortfood",3.0,"37.386902359296805,-121.8837451190941",$$
Happy Lemon,180,"juicebars,bubbletea",4.0,"37.3362576564015,-122.015137771311",$$
L'epi D'or Bakery,340,"bakeries,taiwanese",3.5,"37.3238555653226,-122.01782251157",$
Pho Hoa Noodle Soup,692,"vietnamese,noodles",2.5,"37.3515395966081,-121.992701059217",$$
Tasty Pot,228,"taiwanese,hotpot,bubbletea",4.0,"37.42363,-121.918191",$$
BAMBU,310,"coffee,juicebars,bubbletea",3.5,"37.33442863879794,-121.8558634300557",$
Tea Degree,1,bubbletea,3.0,"37.3364857518089,-121.881077128665",
Huong Lan Sandwiches 4,394,sandwiches,3.5,"37.428517824539,-121.90739146993",$
Sheng Kee Bakery,187,"bakeries,desserts",3.5,"37.422529,-121.9182276",$
Tasty Pot,1229,"taiwanese,bubbletea,hotpot",4.0,"37.3328,-121.85439",$$
Grace Deli & Cafe,98,"breakfast_brunch,sandwiches,salad",4.0,"37.3287087,-121.8916141",$
Pho Tau Bay,609,vietnamese,3.0,"37.324202,-121.868444",$
Caffé Central,273,"desserts,cafes",2.5,"37.3260982962994,-121.944144442677",$$
The Sweet Corner,939,"coffee,bakeries,juicebars",3.5,"37.3326526593,-121.858024419",$$
Pho Kim Long Restaurant,3036,vietnamese,3.5,"37.407042,-121.886804",$$
Tasty Pot,454,"taiwanese,bubbletea,hotpot",4.0,"37.3035809397697,-122.032403200865",$$
Paris Baguette,413,"bakeries,coffee,cakeshop",3.0,"37.3234358747402,-122.03533988446",$$
Pho Lovers,747,vietnamese,4.0,"37.38779,-122.023902",$$
Pho Passion and Mintea,228,"vietnamese,coffee,noodles",4.0,"37.3394644342281,-121.884120292962",$$
Poke House,1138,"seafood,asianfusion,poke",4.0,"37.3869864701951,-121.88361398124395",$$
Tea Villa,1,bubbletea,1.0,"37.332,-121.88879",
Lee's Sandwiches,475,"sandwiches,vietnamese,coffee",3.5,"37.3385,-121.884881",$
Yogurtland,1162,icecream,4.0,"37.321657,-122.017812",$
Liang's Village,1223,"taiwanese,noodles,comfortfood",3.5,"37.321987,-122.0330077",$$
Dakao Sandwich Two,291,"vietnamese,sandwiches",3.5,"37.4294489267893,-121.90746607664104",$
Luu New Tung Kee Noodle,433,"chinese,noodles",3.5,"37.43358231924054,-121.89762756888247",$$
Chef Ko Chinese Cuisine,364,chinese,3.5,"37.294028,-121.964811",$$
JX Cuisine,347,chinese,3.5,"37.3384404666318,-121.995095190033",$$
House of Pho,863,vietnamese,3.5,"37.3516654968262,-122.003196716309",$$
Lee's Sandwiches,323,"sandwiches,vietnamese,coffee",3.0,"37.323542551526,-122.02986670876",$
Pho Hoa & Jazen Tea,381,"vietnamese,noodles",2.5,"37.30657,-122.03242",$$
Sunright Tea Studio - Union City,194,bubbletea,4.5,"37.58643220737729,-122.02003553554525",$$
CAFFE:iN,517,"coffee,bubbletea,juicebars",4.0,"37.58798,-122.01945",$$
99 Tea House,564,"bubbletea,coffee,juicebars",4.0,"37.56295,-122.01004",$
Feng Cha Teahouse,802,"desserts,bubbletea,coffee",4.0,"37.54872,-122.04929",$$
Experience Tea,23,"bubbletea,tea",4.5,"37.5514009559669,-122.05000754445791",
Tapioca Express,864,"coffee,juicebars,bubbletea",3.5,"37.589401228809564,-122.02176904326525",$
Mr Green Bubble,474,"bubbletea,coffee,taiwanese",3.5,"37.589549,-122.019883",$
MandRo Teahouse,712,"bubbletea,shavedice",4.0,"37.5515049151238,-122.050272187505",$$
K On The Go,37,"bubbletea,coffee",4.5,"37.5896,-122.07124",$$
Cafe 86,272,"desserts,cafes,bubbletea",4.0,"37.587125,-122.0218524",$
Brian Black Tea,223,"bubbletea,tea",4.0,"37.50098636156102,-121.969142",$$
Sana Tea & Dessert,99,"bubbletea,coffee",4.0,"37.56269,-122.01509",$$
Yi Fang Taiwan Fruit Tea - Fremont,184,"coffee,bubbletea,juicebars",4.5,"37.575695,-122.04422833",$$
TOCOTEA,86,"bubbletea,tea",3.5,"37.59793,-122.0693",$$
Ume Tea - Fremont,160,bubbletea,4.0,"37.51927783249342,-121.9897608",$$
Royaltea USA,421,bubbletea,4.0,"37.5513151288033,-121.993849799037",$$
Ume Tea,69,bubbletea,4.0,"37.5508038,-122.0505599",$$
TeaTop,214,"bubbletea,coffee",4.5,"37.52237,-122.00396",$$
Tea Moment,62,"candy,bubbletea,coffee",4.5,"37.51819,-121.9911",
Tea For Fremont,271,"taiwanese,bubbletea,juicebars",3.0,"37.563079,-122.015363",$
Mr. Sun Tea - Fremont,214,"juicebars,bubbletea,coffee",4.0,"37.51976,-121.98758",$$
Hippies Brew,434,"coffee,bubbletea,breakfast_brunch",4.5,"37.596316,-122.079082",$
A Sack of Potatoes,572,"asianfusion,cafes,coffee",4.0,"37.5603344028298,-122.010552883005",$$
Gong cha - Union City,12,"bubbletea,coffee",4.0,"37.591718,-122.071188",$$
Tpumps - Fremont,199,"bubbletea,juicebars",4.0,"37.52428,-121.95725",$$
Che-Lo,534,"vietnamese,sandwiches,desserts",4.0,"37.5895628278523,-122.022492714298",$
i-Tea,426,"bubbletea,tea,juicebars",3.0,"37.504992442164,-121.971231736243",$
Q Tea Monster,348,"desserts,bubbletea,tea",4.0,"37.5229604101756,-122.005785632481",$$
85°C Bakery Cafe-Newark,1525,"bakeries,coffee,cakeshop",3.5,"37.54772,-122.0466",$$
Lilikoi Boba,11,bubbletea,2.5,"37.53143,-121.95929",
Bun Appétit Donuts,1097,"donuts,coffee",4.5,"37.559903868343,-122.009873324027",$
R&B Tea - Fremont,43,bubbletea,4.0,"37.5599018265357,-122.00965771376823",
Sharetea,196,"coffee,bubbletea,juicebars",3.5,"37.53195,-121.95789",$$
